YEAR,MONTH,AIRPORT,FLIGHTS,STRIKES,WND_ANG_MEAN,WND_SPD_MEAN,CIG_MEAN,VIS_MEAN,TMP_MEAN,DEW_MEAN,SLP_MEAN
2018,8,AUS,11894,31,179.5,2.82,14728.35,15867.35,30.58,19.84,1014.63
2018,8,CLT,44787,19,204.62,2.12,12875.18,15136.95,26.15,22.02,1018.82
2018,8,CVG,9656,24,213.33,2.3,12649.21,12953.17,21.64,19.73,1016.35
2018,8,DAL,12079,25,187.92,3.84,15125.12,15899.88,28.49,20.92,1016.05
2018,8,DEN,51882,18,222.94,4.63,18534.73,15967.44,21.71,5.19,1008.58
2018,8,DFW,56491,53,179.59,3.86,17389.88,15167.3,26.17,19.96,1014.52
2018,8,DTW,34143,59,224.07,2.92,10848.66,8807.8,21.57,17.89,1015.28
2018,8,FLL,22546,9,142.5,3.54,13983.33,16093.0,27.78,25.19,1018.13
2018,8,IAH,38157,9,215.0,1.49,20202.5,16093.0,28.2,23.68,1016.99
2018,8,JFK,39460,18,198.75,3.97,16555.46,15515.28,24.15,21.93,1017.29
2018,8,LAX,57694,10,197.78,3.0,19124.0,15752.6,22.31,17.34,1013.43
2018,8,MCI,10247,34,207.27,3.79,14783.47,13730.0,19.99,17.3,1015.69
2018,8,MCO,25957,25,136.5,2.4,20202.5,15960.92,26.63,23.73,1018.66
2018,8,MEM,4576,29,178.8,3.4,13183.68,15372.9,25.94,21.41,1017.23
2018,8,ORD,77796,40,200.29,3.4,13853.05,13285.02,22.63,18.07,1014.97
2018,8,RSW,3797,19,87.65,2.9,22000.0,16093.0,27.11,23.68,1018.9
2018,8,SDF,4737,21,188.82,2.48,14509.94,15694.33,25.63,20.19,1015.31
2018,8,SEA,39878,14,246.36,1.82,11518.0,10642.86,17.12,11.72,1016.08
2018,8,SLC,22407,48,182.86,3.29,19737.2,15553.42,21.59,6.66,1011.1
2018,8,TPA,12660,11,136.25,2.1,16681.67,16050.73,29.35,22.42,1019.11
2018,9,ATL,69019,36,201.14,2.93,12754.67,15225.58,26.37,20.28,1017.83
2018,9,AUS,10923,19,118.18,2.11,8273.17,15889.37,26.07,21.88,1012.95
2018,9,CLT,41202,29,163.6,2.28,11621.81,14880.97,25.54,21.3,1017.78
2018,9,CVG,8719,14,143.08,3.2,11788.0,15212.64,22.11,18.06,1018.09
